"STATE","COUNTY","STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","H_MALE","H_FEMALE","white_alone_perc","black_alone_perc","american_indian_alone_perc","asian_alone_perc","hispanic_perc"
1,47,"Alabama","Dallas County",37196,17178,20018,4910,5349,11940,14360,74,40,91,76,237,192,0.27580922679858,0.707065275836111,0.00306484568233143,0.00448973007850307,0.0115334982256157
1,49,"Alabama","DeKalb County",71513,35577,35936,32870,33433,688,652,744,702,199,172,5715,5059,0.927146113294086,0.0187378518591025,0.0202200998419868,0.00518786794009481,0.150657922335799
1,51,"Alabama","Elmore County",81209,39236,41973,29676,31785,8345,8834,212,201,270,340,1289,1274,0.756824982452684,0.211540592791439,0.00508564321688483,0.0075114827174328,0.0315605413193119
1,53,"Alabama","Escambia County",36633,18425,18208,11261,11554,5974,5476,703,725,53,69,530,422,0.622799115551552,0.312559713919144,0.0389812464171648,0.00333033057625638,0.0259874976114432
1,55,"Alabama","Etowah County",102268,49496,52772,40115,42386,7542,8560,334,293,412,429,2225,2005,0.80671373254586,0.157449055423006,0.00613095005280244,0.00822349121914969,0.0413619118394806
1,57,"Alabama","Fayette County",16302,7937,8365,6817,7163,927,974,41,37,19,59,172,163,0.857563489142437,0.116611458716722,0.00478468899521531,0.00478468899521531,0.0205496258127837
1,59,"Alabama","Franklin County",31362,15782,15580,14388,14369,776,597,257,265,55,59,3153,2453,0.916937695300045,0.0437790957209362,0.0166443466615649,0.00363497225942223,0.178751355143167
1,61,"Alabama","Geneva County",26271,12827,13444,11187,11708,1181,1264,147,146,44,48,584,511,0.871493281565224,0.0930684024209204,0.011152982376004,0.00350196033649271,0.0416809409615165
1,63,"Alabama","Greene County",8111,3829,4282,735,765,3033,3449,18,13,11,12,73,66,0.184934040192331,0.799161632351128,0.00382197016397485,0.00283565528294908,0.0171372210578227
1,65,"Alabama","Hale County",14651,6950,7701,2956,3007,3909,4591,17,22,19,25,111,98,0.407002934953246,0.580165176438468,0.00266193433895297,0.00300320797215207,0.0142652378677223
1,67,"Alabama","Henry County",17205,8309,8896,5992,6323,2097,2357,49,30,33,40,239,224,0.715780296425458,0.258878233071781,0.0045916884626562,0.0042429526300494,0.0269107817494914
1,69,"Alabama","Houston County",105882,50628,55254,35314,37558,13435,15541,257,317,477,660,1920,1711,0.688237849681721,0.27366313443267,0.00542112918154172,0.0107383691278971,0.0342928920874181
1,71,"Alabama","Jackson County",51626,25367,26259,23189,23984,893,910,421,432,132,169,832,752,0.913745012203153,0.0349242629682718,0.0165226823693488,0.00583039553713245,0.030682214388099
1,73,"Alabama","Jefferson County",658573,311232,347341,169820,179696,130550,155711,917,947,5599,6187,14247,12626,0.530717171824536,0.434668594066261,0.00283036200998219,0.0178962696618294,0.0408048917887615
