Entity,Code,Year,Population,Continent,life_expectancy,GDP_per_capita
Panama,PAN,2015,3968000,North America,77.776,20809
Paraguay,PRY,2015,6689000,South America,73.662,8364
Peru,PER,2015,30471000,South America,75.792,11215
Philippines,PHL,2015,102113000,Asia,70.644,6870
Poland,POL,2015,38034000,Europe,77.859,25310
Portugal,PRT,2015,10368000,Europe,81.224,27255
Puerto Rico,PRI,2015,3382000,North America,79.52,35384
Qatar,QAT,2015,2566000,Asia,79.758,139542
Romania,ROU,2015,19925000,Europe,75.476,20549
Russia,RUS,2015,144984992,Europe,71.464,23118
Rwanda,RWA,2015,11369000,Africa,67.45,1676
Saint Lucia,LCA,2015,179000,North America,75.596,10687
Sao Tome and Principe,STP,2015,199000,Africa,69.377,3560
Saudi Arabia,SAU,2015,31718000,Asia,74.651,47737
Senegal,SEN,2015,14578000,Africa,66.747,2446
Serbia,SRB,2015,8877000,Europe,75.309,13556
Seychelles,SYC,2015,95000,Africa,73.182,23984
Sierra Leone,SLE,2015,7172000,Africa,52.941,1033
Singapore,SGP,2015,5592000,Asia,82.877,67110
Slovakia,SVK,2015,5436000,Europe,76.827,25896
Slovenia,SVN,2015,2071000,Europe,80.673,28077
South Africa,ZAF,2015,55386000,Africa,62.649,12054
South Korea,KOR,2015,50823000,Asia,82.1,35316
Spain,ESP,2015,46672000,Europe,82.981,33376
Sri Lanka,LKA,2015,20908000,Asia,76.316,10734
Sudan,SDN,2015,38903000,Africa,64.429,3723
Sweden,SWE,2015,9765000,Europe,82.251,43464
Switzerland,CHE,2015,8297000,Europe,83.142,61476
Syria,SYR,2015,17997000,Asia,69.908,3509
Taiwan,TWN,2015,23557000,Asia,79.743,41805
Tajikistan,TJK,2015,8454000,Asia,70.137,3365
Tanzania,TZA,2015,51483000,Africa,63.111,2429
Thailand,THA,2015,68715000,Asia,76.091,13938
Togo,TGO,2015,7323000,Africa,59.927,1482
Trinidad and Tobago,TTO,2015,1370000,North America,72.941,30892
Tunisia,TUN,2015,11180000,Africa,75.922,10608
Turkey,TUR,2015,78529000,Asia,76.532,20808
Turkmenistan,TKM,2015,5565000,Asia,67.704,21262
Uganda,UGA,2015,38225000,Africa,61.373,1883
Ukraine,UKR,2015,44922000,Europe,71.535,9429
United Arab Emirates,ARE,2015,9263000,Asia,77.285,69237
United Kingdom,GBR,2015,65860000,Europe,81.052,38749
United States,USA,2015,320878016,North America,78.91,52591
Uruguay,URY,2015,3412000,South America,77.369,19668
Uzbekistan,UZB,2015,30930000,Asia,70.928,9107
Venezuela,VEN,2015,30082000,South America,72.584,16257
Vietnam,VNM,2015,92677000,Asia,75.11,5733
Yemen,YEM,2015,26498000,Asia,66.085,2496
Zambia,ZMB,2015,15879000,Africa,61.737,3537
Zimbabwe,ZWE,2015,13815000,Africa,59.534,1759
